,loss,accuracy,val_loss,val_accuracy
0,2.2739901542663574,0.20941177010536194,2.21244478225708,0.25
1,2.0132620334625244,0.3199999928474426,1.7693630456924438,0.3333333432674408
2,1.4391045570373535,0.48235294222831726,1.1864506006240845,0.4583333432674408
3,0.9115798473358154,0.7011764645576477,0.765338122844696,0.75
4,0.5979061722755432,0.8235294222831726,0.6175515651702881,0.7083333134651184
5,0.40916210412979126,0.8847059011459351,0.4319528043270111,0.875
6,0.3007257878780365,0.9200000166893005,0.40557608008384705,0.8958333134651184
7,0.173817977309227,0.9576470851898193,0.3715082108974457,0.9166666865348816
8,0.13295871019363403,0.9647058844566345,0.21585087478160858,0.9375
9,0.09388670325279236,0.9764705896377563,0.21832962334156036,0.8958333134651184
10,0.059409502893686295,0.9858823418617249,0.14615601301193237,0.9583333134651184
11,0.06641945987939835,0.9788235425949097,0.1741235852241516,0.9375
12,0.04688319191336632,0.9882352948188782,0.10056505352258682,0.9791666865348816
13,0.027828428894281387,0.9952940940856934,0.12956222891807556,0.9583333134651184
14,0.03002484329044819,0.9929412007331848,0.16194450855255127,0.8958333134651184
15,0.03636569529771805,0.9929412007331848,0.12959353625774384,0.9375
16,0.016196968033909798,0.9976470470428467,0.1327502727508545,0.9583333134651184
17,0.01371761318296194,0.9976470470428467,0.07891961187124252,0.9583333134651184
18,0.01749989576637745,0.9952940940856934,0.15690170228481293,0.9583333134651184
19,0.014748304150998592,0.9976470470428467,0.12587350606918335,0.9375
20,0.00962362065911293,0.9976470470428467,0.13154150545597076,0.9375
21,0.0071358876302838326,0.9976470470428467,0.10154040902853012,0.9583333134651184
22,0.005023120902478695,1.0,0.10909274965524673,0.9583333134651184
